Date,VN_AQI,CO,NO2,PM-10,PM-2-5,SO2,region,station_id,day_of_week,month,quarter,day_sin,day_cos,month_sin,month_cos,VN_AQI_lag_1,VN_AQI_lag_7,PM-2-5_lag_1,PM-2-5_lag_7,PM-10_lag_1,PM-10_lag_7,VN_AQI_roll_mean_7,PM-2-5_roll_mean_7
2022-06-17,-1.0762811989697396,-0.20468589473158408,-0.6170138938702747,-1.2177553204489546,-1.0826118823393576,-0.3119650260167202,north,HY_TanQuang_VanLam,4,6,2,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,-0.23391368221670047,-0.8333131686476911,-1.0827932791945802,-0.9602822938596506,-1.2179092704079917,-1.1354753337530206,-0.8694504295781419,-1.1729455246228755
2022-06-18,-0.8847421784158275,0.07327736157633707,-0.6170138938702747,-1.2177553204489546,-1.0585125681784333,-0.24511943010996215,north,HY_TanQuang_VanLam,5,6,2,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,-1.0740847069487072,-0.7394619435368822,-1.0827932791945802,-1.008471771296233,-1.2179092704079917,-1.1754647234048086,-0.8919851855021224,-1.1805419462722946
2022-06-19,-0.9613577866373922,-0.03790794094683139,-0.6681438537632244,-1.2177553204489546,-1.0585125681784333,-0.24511943010996215,north,HY_TanQuang_VanLam,6,6,2,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-0.883136746782342,-0.8145429236255294,-1.0587043090408588,-1.032566510014524,-1.2179092704079917,-1.1754647234048086,-0.9145199414261029,-1.1843401570970042
2022-06-20,-0.8847421784158275,0.07327736157633707,-0.7192738136561739,-1.2177553204489546,-1.0826118823393576,-0.24511943010996215,north,HY_TanQuang_VanLam,0,6,2,0.0,1.0,1.2246467991473532e-16,-1.0,-0.9595159308488881,-0.758232188559044,-1.0587043090408588,-1.0566612487328153,-1.2179092704079917,-1.2154541130565966,-0.9338354465038005,-1.188138367921714
2022-06-21,-0.7889726681388715,0.21225898973029766,-0.7192738136561739,-1.2177553204489546,-1.0826118823393576,-0.24511943010996215,north,HY_TanQuang_VanLam,1,6,2,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,-0.883136746782342,-0.664380963448235,-1.0827932791945802,-1.0566612487328153,-1.2179092704079917,-1.2154541130565966,-0.9531509515814981,-1.1919365787464233
2022-06-22,-0.5782797455295682,0.5180185716690109,-0.7704037735491236,-1.2177553204489546,-1.0826118823393576,-0.24511943010996215,north,HY_TanQuang_VanLam,2,6,2,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,-0.7876627666991595,-0.8145429236255294,-1.0827932791945802,-1.1048507261693976,-1.2179092704079917,-1.2554435027083846,-0.9113006905798199,-1.188138367921714
2022-06-23,-0.11858609620017914,1.1851303868080219,-0.6170138938702747,-1.2177553204489546,-1.0585125681784333,-0.24511943010996215,north,HY_TanQuang_VanLam,3,6,2,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,-0.5776200105161577,-0.2326653279385141,-1.0827932791945802,-1.0807559874511066,-1.2179092704079917,-1.2154541130565966,-0.8919851855021224,-1.1843401570970042
2022-06-24,-0.6740492558065242,0.37903694351505035,-0.7704037735491236,-1.2577767241542182,-1.1067111965002818,-0.24511943010996215,north,HY_TanQuang_VanLam,4,6,2,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,-0.1193449061168814,-1.0585561089136326,-1.0587043090408588,-1.0807559874511066,-1.2179092704079917,-1.2154541130565966,-0.8243809177301809,-1.188138367921714
2022-06-25,-0.21435560647713517,1.0461487586540612,-0.7192738136561739,-1.2577767241542182,-1.0826118823393576,-0.24511943010996215,north,HY_TanQuang_VanLam,5,6,2,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,-0.6730939905993404,-0.8708536586920147,-1.1068822493483017,-1.0566612487328153,-1.257914196720464,-1.2154541130565966,-0.7117071381102782,-1.1919365787464233
2022-06-26,-0.5974336475849593,0.4902222460382188,-0.7192738136561739,-1.2577767241542182,-1.1067111965002818,-0.24511943010996215,north,HY_TanQuang_VanLam,6,6,2,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-0.21481888620006398,-0.9459346387806619,-1.0827932791945802,-1.0566612487328153,-1.257914196720464,-1.2154541130565966,-0.6505413720309025,-1.1995330003958427
