Date,VN_AQI,CO,NO2,PM-10,PM-2-5,SO2,region,station_id,day_of_week,month,quarter,day_sin,day_cos,month_sin,month_cos,VN_AQI_lag_1,VN_AQI_lag_7,PM-2-5_lag_1,PM-2-5_lag_7,PM-10_lag_1,PM-10_lag_7,VN_AQI_roll_mean_7,PM-2-5_roll_mean_7
2023-12-04,-0.7889726681388715,-0.3714638485163368,-0.7704037735491236,-0.3773058426384195,-0.45602971415532695,-0.4456562178302363,middle,QN_HungVuong_HoXuanHuong,0,12,4,0.0,1.0,-2.4492935982947064e-16,1.0,-0.7876627666991595,-0.7770024335812058,-0.45648005519782386,-0.45429278077553553,-0.37780581784607603,-0.37567693036905003,-0.9306161956575176,-0.5044604194739847
2023-12-05,-0.6932031578619153,-0.09350059220841563,-0.5658839339773251,-0.17719882411210158,-0.45602971415532695,-0.3119650260167202,middle,QN_HungVuong_HoXuanHuong,1,12,4,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,-0.7876627666991595,-0.7770024335812058,-0.45648005519782386,-0.45429278077553553,-0.37780581784607603,-0.37567693036905003,-0.8742793058475663,-0.5044604194739847
2023-12-06,-0.5782797455295682,-0.17688956910079198,-0.41249405429847624,0.06292959811947992,-0.35963245751163,-0.3119650260167202,middle,QN_HungVuong_HoXuanHuong,2,12,4,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,-0.6921887866159768,-0.7770024335812058,-0.45648005519782386,-0.45429278077553553,-0.17778118628371514,-0.37567693036905003,-0.8104308307296215,-0.4512854679280502
2023-12-07,-0.36758682292026484,-0.2602785459931683,-0.6170138938702747,0.5031650388773793,-0.4801290283162512,-0.37881062192347825,middle,QN_HungVuong_HoXuanHuong,3,12,4,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,-0.5776200105161577,-0.7770024335812058,-0.36012417458293833,-0.45429278077553553,0.062248371591117894,-0.37567693036905003,-0.7165360143797026,-0.4778729437010174
2023-12-08,0.7433394962924252,-0.06570426657762352,4.393722175638787,0.1029510018247435,-0.14273863006331172,-0.3119650260167202,middle,QN_HungVuong_HoXuanHuong,4,12,4,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,-0.3675772543331561,-0.7770024335812058,-0.4805690253515453,-0.45429278077553553,0.5023025610283118,-0.37567693036905003,-0.39879595585157723,-0.3981105163821157
2023-12-09,-0.2909712146987,-0.12129691783920775,-0.36136409440552664,0.2630366166457978,0.050055883224082276,0.022262953517070038,middle,QN_HungVuong_HoXuanHuong,5,12,4,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0.7399209146317618,-0.7770024335812058,-0.14332344319944573,-0.45429278077553553,0.10225329790359007,-0.37567693036905003,-0.389782053481985,-0.3077130987540271
2023-12-10,3.424885784047194,-0.2602785459931683,11.551916560651735,0.5431864425826429,0.0018572549022337751,9.915411147717261,middle,QN_HungVuong_HoXuanHuong,6,12,4,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.29119807026661004,-0.7770024335812058,0.049388318030325444,-0.45429278077553553,0.2622730031534788,-0.37567693036905003,0.24119111238946958,-0.25631064559295696
2023-12-11,1.93088142372668,-0.17688956910079198,-0.6170138938702747,0.8233362685194879,0.4356449097988703,10.316484723157808,middle,QN_HungVuong_HoXuanHuong,0,12,4,0.0,1.0,-2.4492935982947064e-16,1.0,3.413192356960874,-0.7770024335812058,0.001210377722882649,-0.45429278077553553,0.542307487340784,-0.37567693036905003,0.6983247325616461,-0.1512268127759913
2023-12-12,1.3754182641203352,-0.2602785459931683,6.081010852106125,0.06292959811947992,0.09825451154593078,0.08910854942382809,middle,QN_HungVuong_HoXuanHuong,1,12,4,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,1.9237982676632257,-0.6831512084703969,0.4348118404898678,-0.45429278077553553,0.8223419715280892,-0.1757299821101104,1.0460038239602023,-0.06386796380767037
2023-12-13,-0.5208180393633945,-0.2602785459931683,-0.6170138938702747,0.18299380923527064,-0.23913588670700872,-0.3119650260167202,middle,QN_HungVuong_HoXuanHuong,2,12,4,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,1.3700491831807668,-0.5705297383374262,0.09756625833776823,-0.35791382590237075,0.062248371591117894,0.06420635580061718,1.0556615764990511,-0.04487690968412231
