Date,VN_AQI,CO,NO2,PM-10,PM-2-5,SO2,region,station_id,day_of_week,month,quarter,day_sin,day_cos,month_sin,month_cos,VN_AQI_lag_1,VN_AQI_lag_7,PM-2-5_lag_1,PM-2-5_lag_7,PM-10_lag_1,PM-10_lag_7,VN_AQI_roll_mean_7,PM-2-5_roll_mean_7
2023-12-20,-0.5208180393633945,-0.28807487162396045,-0.7192738136561739,0.18299380923527064,-0.4801290283162512,-0.7130386014572685,middle,BD_HoaLu_QuyNhon,2,12,4,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,-0.5203356224662482,-0.5142190032709408,-0.4805690253515453,-0.47838751949382674,0.18226315052853442,0.18417452475598095,-0.6151296127217902,-0.531047895246952
2023-12-21,-0.6357414516957417,-0.2602785459931683,-0.6681438537632244,-0.057134612996310834,-0.648824227442721,-0.7130386014572685,middle,BD_HoaLu_QuyNhon,3,12,4,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,-0.5203356224662482,-0.5142190032709408,-0.4805690253515453,-0.47838751949382674,0.18226315052853442,0.18417452475598095,-0.6827338804937318,-0.6241040604523372
2023-12-22,-0.9230499825266099,-0.2324822203623762,-0.15684425483372816,-0.6574556685752645,-0.8175194265691907,-0.7130386014572685,middle,BD_HoaLu_QuyNhon,4,12,4,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,-0.6349043985660673,-0.5142190032709408,-0.649191816427595,-0.47838751949382674,-0.05776640734629863,0.18417452475598095,-0.817942416037615,-0.7171602256577226
2023-12-23,-0.9422038845820011,-0.2602785459931683,-0.5658839339773251,-1.0176483019226368,-0.9621153115347362,-0.7130386014572685,middle,BD_HoaLu_QuyNhon,5,12,4,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,-0.9213263388156151,-0.5142190032709408,-0.8178146075036449,-0.47838751949382674,-0.6578403020333813,0.18417452475598095,-0.8911803727905516,-0.8035695219198662
2023-12-24,-0.9613577866373922,-0.2324822203623762,-0.5147539740843755,-1.0576697056279003,-0.938015997373812,-0.7130386014572685,middle,BD_HoaLu_QuyNhon,6,12,4,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.9404211348322515,-0.5142190032709408,-0.9623484284259732,-0.47838751949382674,-1.0178846388456309,0.18417452475598095,-0.9396300980271097,-0.8500976045225589
2023-12-25,-0.654895353751133,-0.20468589473158408,-0.25910417461962737,-0.3773058426384195,-0.4078310858334785,-0.7130386014572685,middle,BD_HoaLu_QuyNhon,0,12,4,0.0,1.0,-2.4492935982947064e-16,1.0,-0.9595159308488881,-0.5142190032709408,-0.9382594582722519,-0.47838751949382674,-1.057889565158103,0.18417452475598095,-0.9118372323875339,-0.7836289150901408
2023-12-26,-0.6357414516957417,-0.12129691783920775,-0.36136409440552664,-0.17719882411210158,-0.38373177167255423,-0.7130386014572685,middle,BD_HoaLu_QuyNhon,1,12,4,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,-0.6539991945827038,-0.5142190032709408,-0.4083021148903811,-0.47838751949382674,-0.37780581784607603,0.18417452475598095,-0.8887659346558394,-0.7323530689565612
2023-12-27,-0.5208180393633945,-0.09350059220841563,-0.20797421472667776,-0.2972630352278923,-0.23913588670700872,-0.7130386014572685,middle,BD_HoaLu_QuyNhon,2,12,4,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,-0.6349043985660673,-0.5142190032709408,-0.3842131447366597,-0.47838751949382674,-0.17778118628371514,0.18417452475598095,-0.8887659346558394,-0.694370960709465
2024-01-05,-0.9996655907481747,-0.12129691783920775,-0.25910417461962737,-0.2972630352278923,-0.23913588670700872,-0.7130386014572685,middle,BD_HoaLu_QuyNhon,4,1,1,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,-0.5203356224662482,-0.6268404734039116,-0.23967932381433132,-0.647050690521865,-0.29779596522113166,-0.055761813154746605,-0.9499317007352153,-0.6905727498847554
2024-01-06,-0.3101251167540912,-0.06570426657762352,-0.31023413451257703,0.6232292499931701,-0.21503657254608446,-0.7130386014572685,middle,BD_HoaLu_QuyNhon,5,1,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,-0.9977055228821611,-0.9083941487363383,-0.23967932381433132,-0.8157138615499034,-0.29779596522113166,-0.6556026579315656,-0.8469156736541613,-0.5797916008307251
