Date,VN_AQI,CO,NO2,PM-10,PM-2-5,SO2,region,station_id,day_of_week,month,quarter,day_sin,day_cos,month_sin,month_cos,VN_AQI_lag_1,VN_AQI_lag_7,PM-2-5_lag_1,PM-2-5_lag_7,PM-10_lag_1,PM-10_lag_7,VN_AQI_roll_mean_7,PM-2-5_roll_mean_7
2023-12-20,-0.9230499825266099,-0.3436675228855447,-0.8215337334420733,-1.0576697056279003,-0.938015997373812,-0.7130386014572685,middle,LD_VuonHoa_LamSon,2,12,4,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,-0.9213263388156151,-0.9083941487363383,-0.9382594582722519,-0.9361875551413593,-1.057889565158103,-1.0554965544494448,-1.0883594871253812,-1.0362099349333296
2023-12-21,-0.9230499825266099,-0.31587119725475254,-0.8215337334420733,-1.0576697056279003,-0.938015997373812,-0.7130386014572685,middle,LD_VuonHoa_LamSon,3,12,4,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,-0.9213263388156151,-0.9083941487363383,-0.9382594582722519,-0.9361875551413593,-1.057889565158103,-1.0554965544494448,-1.0883594871253812,-1.0362099349333296
2023-12-22,-0.9038960804712186,-0.28807487162396045,-0.8215337334420733,-1.0976911093331638,-0.9862146256956604,-0.7130386014572685,middle,LD_VuonHoa_LamSon,4,12,4,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,-0.9213263388156151,-0.9083941487363383,-0.9382594582722519,-0.9361875551413593,-1.057889565158103,-1.0554965544494448,-1.0808479018173878,-1.0539349187819744
2023-12-23,-0.8847421784158275,-0.31587119725475254,-0.8215337334420733,-1.0976911093331638,-0.9862146256956604,-0.7130386014572685,middle,LD_VuonHoa_LamSon,5,12,4,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,-0.9022315427989785,-0.9083941487363383,-0.9864373985796946,-0.9361875551413593,-1.0978944914705753,-1.0554965544494448,-1.0714584201823958,-1.0627974107062967
2023-12-24,-0.9038960804712186,-0.31587119725475254,-0.8215337334420733,-1.0176483019226368,-1.0103139398565848,-0.7130386014572685,middle,LD_VuonHoa_LamSon,6,12,4,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.883136746782342,-0.9083941487363383,-0.9864373985796946,-0.9361875551413593,-1.0978944914705753,-1.0554965544494448,-1.0703316823861968,-1.0734324010154837
2023-12-25,-0.8847421784158275,-0.28807487162396045,-0.8215337334420733,-1.0576697056279003,-0.938015997373812,-0.7130386014572685,middle,LD_VuonHoa_LamSon,0,12,4,0.0,1.0,-2.4492935982947064e-16,1.0,-0.9022315427989785,-0.9083941487363383,-1.010526368733416,-0.9361875551413593,-1.0178846388456309,-1.0554965544494448,-1.0658247312014006,-1.067228656668458
2023-12-26,-0.9038960804712186,-0.28807487162396045,-0.7704037735491236,-0.897584090806846,-0.8657180548910393,-0.7130386014572685,middle,LD_VuonHoa_LamSon,1,12,4,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,-0.883136746782342,-0.9083941487363383,-0.9382594582722519,-0.9361875551413593,-1.057889565158103,-1.0554965544494448,-1.0658247312014006,-1.051402778232168
2023-12-27,-0.9422038845820011,-0.2602785459931683,-0.7192738136561739,-0.897584090806846,-0.7934201124082665,-0.7130386014572685,middle,LD_VuonHoa_LamSon,2,12,4,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,-0.9022315427989785,-0.9083941487363383,-0.8659925478110876,-0.9361875551413593,-0.8978698599082143,-1.0554965544494448,-1.0690439820476836,-1.0286135132839105
2023-12-28,-0.9996655907481747,-0.2324822203623762,-0.7192738136561739,-0.8175412833963188,-0.8657180548910393,-0.7130386014572685,middle,LD_VuonHoa_LamSon,3,12,4,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,-0.9404211348322515,-0.9083941487363383,-0.7937256373499234,-0.9361875551413593,-0.8978698599082143,-1.0554965544494448,-1.0819209854328153,-1.0172188808097815
2023-12-29,-0.9230499825266099,-0.28807487162396045,-0.7704037735491236,-0.8575626871015825,-0.745221484086418,-0.7130386014572685,middle,LD_VuonHoa_LamSon,4,12,4,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,-0.9977055228821611,-0.8896239037141764,-0.8659925478110876,-0.9843770325779417,-0.8178600072832699,-1.0954859441012328,-1.0851402362790985,-0.9792367725626856
