Date,VN_AQI,CO,NO2,PM-10,PM-2-5,SO2
22/04/2025,80,5,7,55,80,2
21/04/2025,73,7,10,55,73,4
20/04/2025,72,4,10,53,72,4
19/04/2025,93,7,8,62,93,3
18/04/2025,107,6,7,72,107,3
17/04/2025,119,5,17,93,119,3
16/04/2025,162,7,17,129,162,13
15/04/2025,165,9,-,115,165,21
14/04/2025,164,9,-,123,164,23
13/04/2025,151,6,-,114,151,8
12/04/2025,130,10,-,84,130,11
11/04/2025,91,6,-,57,91,3
10/04/2025,82,6,14,58,82,2
09/04/2025,81,6,17,54,81,2
08/04/2025,139,8,25,75,139,5
07/04/2025,112,8,15,58,112,1
06/04/2025,147,7,26,74,147,10
05/04/2025,73,7,22,49,73,3
04/04/2025,134,5,16,83,134,4
03/04/2025,151,8,27,82,151,25
02/04/2025,157,60,44,88,157,63
01/04/2025,115,8,32,68,115,11
31/03/2025,58,5,11,48,58,17
30/03/2025,38,5,7,32,38,10
29/03/2025,81,5,10,56,81,5
28/03/2025,97,6,18,60,97,2
27/03/2025,72,5,17,46,72,1
26/03/2025,112,11,19,66,112,4
25/03/2025,155,20,22,84,155,4
24/03/2025,174,10,27,103,174,15
23/03/2025,161,6,25,92,161,21
22/03/2025,165,13,40,98,165,39
21/03/2025,175,25,27,106,175,31
20/03/2025,124,8,26,76,124,13
19/03/2025,91,8,16,57,91,9
18/03/2025,76,3,8,52,76,11
17/03/2025,95,6,13,59,95,7
16/03/2025,43,3,8,35,43,8
15/03/2025,57,4,11,41,57,3
14/03/2025,55,5,17,39,55,3
13/03/2025,52,4,15,32,52,1
12/03/2025,50,4,25,31,50,2
11/03/2025,131,6,30,69,131,14
10/03/2025,201,11,1,115,201,10
09/03/2025,187,6,1,101,187,6
08/03/2025,120,7,2,66,120,6
07/03/2025,59,3,5,39,59,5
06/03/2025,59,35,4,41,59,3
05/03/2025,105,6,5,60,105,4
04/03/2025,73,6,4,53,73,1
03/03/2025,64,7,7,45,64,0
02/03/2025,50,4,9,32,50,-
01/03/2025,74,4,9,51,74,1
28/02/2025,137,8,23,73,137,3
27/02/2025,133,9,15,68,133,11
26/02/2025,77,5,11,48,77,2
25/02/2025,78,9,9,48,78,3
24/02/2025,55,50,12,38,55,29
23/02/2025,34,8,8,25,34,9
22/02/2025,75,10,16,51,75,4
21/02/2025,88,7,12,51,88,5
20/02/2025,151,9,35,79,151,5
